U1	I
0.02	0.54
0.04	0.61
0.07	0.66
0.09	0.67
0.12	0.73
0.14	0.73
0.17	0.76
0.19	0.75
0.21	0.71
0.24	0.70
0.26	0.69
0.29	0.72
0.31	0.72
0.34	0.72
0.36	0.59
0.39	0.60
0.41	0.53
0.43	0.66
0.46	0.60
0.48	0.68
0.51	0.56
0.53	0.66
0.56	0.59
0.58	0.77
0.61	0.67
0.63	0.78
0.65	0.58
0.68	0.71
0.70	0.62
0.73	0.78
0.75	0.60
0.78	0.73
0.80	0.55
0.83	0.72
0.85	0.59
0.87	0.75
0.90	0.56
0.92	0.72
0.95	0.54
0.97	0.76
1.00	0.60
1.02	0.76
1.05	0.59
1.07	0.77
1.09	0.59
1.12	0.77
1.14	0.55
1.17	0.74
1.19	0.56
1.22	0.75
1.24	0.60
1.26	0.78
1.29	0.61
1.31	0.79
1.34	0.60
1.36	0.75
1.39	0.60
1.41	0.74
1.44	0.61
1.46	0.73
1.48	0.55
1.51	0.68
1.53	0.58
1.56	0.72
1.58	0.65
1.61	0.71
1.63	0.58
1.66	0.69
1.68	0.64
1.70	0.75
1.73	0.69
1.75	0.70
1.78	0.65
1.80	0.73
1.83	0.74
1.85	0.79
1.88	0.73
1.90	0.70
1.92	0.65
1.95	0.65
1.97	0.71
2.00	0.68
2.02	0.70
2.05	0.66
2.07	0.66
2.10	0.64
2.12	0.74
2.14	0.69
2.17	0.78
2.19	0.65
2.22	0.74
2.24	0.64
2.27	0.76
2.29	0.65
2.31	0.79
2.34	0.60
2.36	0.73
2.39	0.58
2.41	0.81
2.44	0.73
2.46	0.84
2.49	0.61
2.51	0.79
2.53	0.63
2.56	0.82
2.58	0.62
2.61	0.74
2.63	0.57
2.66	0.74
2.68	0.60
2.71	0.79
2.73	0.61
2.75	0.78
2.78	0.60
2.80	0.78
2.83	0.61
2.85	0.79
2.88	0.60
2.90	0.78
2.93	0.60
2.95	0.77
2.97	0.62
3.00	0.77
3.02	0.58
3.05	0.76
3.07	0.61
3.10	0.79
3.12	0.65
3.15	0.76
3.17	0.62
3.19	0.74
3.22	0.61
3.24	0.79
3.27	0.65
3.29	0.73
3.32	0.59
3.34	0.69
3.36	0.63
3.39	0.73
3.41	0.62
3.44	0.65
3.46	0.58
3.49	0.67
3.51	0.67
3.54	0.73
3.56	0.67
3.58	0.67
3.61	0.65
3.63	0.68
3.66	0.71
3.68	0.71
3.71	0.72
3.73	0.67
3.76	0.68
3.78	0.68
3.80	0.77
3.83	0.74
3.85	0.80
3.88	0.68
3.90	0.75
3.93	0.68
3.95	0.78
3.98	0.69
4.00	0.76
4.02	0.62
4.05	0.72
4.07	0.62
4.10	0.75
4.12	0.62
4.15	0.71
4.17	0.56
4.20	0.69
4.22	0.59
4.24	0.79
4.27	0.61
4.29	0.77
4.32	0.61
4.34	0.77
4.37	0.62
4.39	0.78
4.42	0.56
4.44	0.74
4.46	0.55
4.49	0.73
4.51	0.55
4.54	0.73
4.56	0.56
4.59	0.76
4.61	0.60
4.63	0.79
4.66	0.60
4.68	0.78
4.71	0.64
4.73	0.78
4.76	0.60
4.78	0.77
4.81	0.60
4.83	0.78
4.85	0.59
4.88	0.71
4.90	0.62
4.93	0.79
4.95	0.66
4.98	0.80
5.00	0.62
5.03	0.76
5.05	0.66
5.07	0.79
5.10	0.70
5.12	0.74
5.15	0.63
5.17	0.73
5.20	0.67
5.22	0.76
5.25	0.71
5.27	0.71
5.29	0.66
5.32	0.70
5.34	0.70
5.37	0.75
5.39	0.74
5.42	0.68
5.44	0.68
5.47	0.66
5.49	0.72
5.51	0.74
5.54	0.75
5.56	0.65
5.59	0.67
5.61	0.58
5.64	0.71
5.66	0.68
5.68	0.77
5.71	0.65
5.73	0.72
5.76	0.64
5.78	0.83
5.81	0.71
5.83	0.82
5.86	0.61
5.88	0.77
5.90	0.66
5.93	0.85
5.95	0.67
5.98	0.80
6.00	0.60
6.03	0.76
6.05	0.60
6.08	0.79
6.10	0.63
6.12	0.79
6.15	0.63
6.17	0.84
6.20	0.68
6.22	0.84
6.25	0.65
6.27	0.82
6.30	0.65
6.32	0.81
6.34	0.59
6.37	0.78
6.39	0.64
6.42	0.83
6.44	0.67
6.47	0.87
6.49	0.71
6.52	0.87
6.54	0.70
6.56	0.82
6.59	0.68
6.61	0.84
6.64	0.71
6.66	0.82
6.69	0.66
6.71	0.78
6.73	0.69
6.76	0.84
6.78	0.72
6.81	0.77
6.83	0.69
6.86	0.80
6.88	0.76
6.91	0.85
6.93	0.77
6.95	0.80
6.98	0.73
7.00	0.79
7.03	0.77
7.05	0.78
7.08	0.76
7.10	0.76
7.13	0.75
