U1	I
0.02	0.46
0.04	0.52
0.07	0.64
0.09	0.67
0.12	0.79
0.14	0.68
0.17	0.79
0.19	0.68
0.21	0.72
0.24	0.62
0.26	0.70
0.29	0.69
0.31	0.75
0.34	0.66
0.36	0.65
0.39	0.59
0.41	0.65
0.43	0.67
0.46	0.69
0.48	0.70
0.51	0.68
0.53	0.68
0.56	0.67
0.58	0.73
0.61	0.70
0.63	0.73
0.65	0.61
0.68	0.63
0.70	0.60
0.73	0.73
0.75	0.69
0.78	0.76
0.80	0.63
0.83	0.76
0.85	0.67
0.87	0.79
0.90	0.70
0.92	0.79
0.95	0.64
0.97	0.77
1.00	0.63
1.02	0.80
1.05	0.67
1.07	0.80
1.09	0.63
1.12	0.80
1.14	0.67
1.17	0.86
1.19	0.69
1.22	0.84
1.24	0.65
1.26	0.85
1.29	0.66
1.31	0.82
1.34	0.62
1.36	0.81
1.39	0.63
1.41	0.80
1.44	0.59
1.46	0.77
1.48	0.60
1.51	0.80
1.53	0.62
1.56	0.79
1.58	0.65
1.61	0.82
1.63	0.65
1.66	0.79
1.68	0.62
1.70	0.81
1.73	0.67
1.75	0.78
1.78	0.60
1.80	0.72
1.83	0.62
1.85	0.77
1.88	0.65
1.90	0.74
1.92	0.59
1.95	0.71
1.97	0.66
2.00	0.76
2.02	0.70
2.05	0.72
2.07	0.63
2.10	0.72
2.12	0.68
2.14	0.71
2.17	0.68
2.19	0.65
2.22	0.65
2.24	0.68
2.27	0.70
2.29	0.74
2.31	0.78
2.34	0.72
2.36	0.71
2.39	0.64
2.41	0.69
2.44	0.67
2.46	0.72
2.49	0.59
2.51	0.64
2.53	0.58
2.56	0.76
2.58	0.69
2.61	0.80
2.63	0.66
2.66	0.78
2.68	0.68
2.71	0.83
2.73	0.67
2.75	0.82
2.78	0.64
2.80	0.76
2.83	0.64
2.85	0.82
2.88	0.64
2.90	0.80
2.93	0.62
2.95	0.77
2.97	0.65
3.00	0.80
3.02	0.61
3.05	0.81
3.07	0.61
3.10	0.77
3.12	0.59
3.15	0.75
3.17	0.59
3.19	0.80
3.22	0.61
3.24	0.78
3.27	0.61
3.29	0.78
3.32	0.63
3.34	0.79
3.36	0.62
3.39	0.80
3.41	0.66
3.44	0.81
3.46	0.65
3.49	0.77
3.51	0.67
3.54	0.83
3.56	0.69
3.58	0.76
3.61	0.59
3.63	0.71
3.66	0.65
3.68	0.75
3.71	0.66
3.73	0.72
3.76	0.68
3.78	0.76
3.80	0.73
3.83	0.79
3.85	0.71
3.88	0.68
3.90	0.62
3.93	0.63
3.95	0.65
3.98	0.66
4.00	0.65
4.02	0.61
4.05	0.62
4.07	0.62
4.10	0.71
4.12	0.70
4.15	0.73
4.17	0.63
4.20	0.66
4.22	0.60
4.24	0.71
4.27	0.61
4.29	0.70
4.32	0.55
4.34	0.66
4.37	0.58
4.39	0.70
4.42	0.60
4.44	0.73
4.46	0.55
4.49	0.77
4.51	0.64
4.54	0.80
4.56	0.69
4.59	0.80
4.61	0.63
4.63	0.80
4.66	0.58
4.68	0.78
4.71	0.62
4.73	0.79
4.76	0.66
4.78	0.80
4.81	0.64
4.83	0.84
4.85	0.66
4.88	0.84
4.90	0.64
4.93	0.79
4.95	0.64
4.98	0.82
5.00	0.62
5.03	0.79
5.05	0.60
5.07	0.77
5.10	0.61
5.12	0.78
5.15	0.60
5.17	0.76
5.20	0.60
5.22	0.81
5.25	0.71
5.27	0.81
5.29	0.64
5.32	0.73
5.34	0.65
5.37	0.79
5.39	0.66
5.42	0.70
5.44	0.60
5.47	0.69
5.49	0.69
5.51	0.76
5.54	0.68
5.56	0.73
5.59	0.67
5.61	0.72
5.64	0.73
5.66	0.74
5.68	0.69
5.71	0.67
5.73	0.62
5.76	0.63
5.78	0.69
5.81	0.70
5.83	0.76
5.86	0.70
5.88	0.73
5.90	0.69
5.93	0.78
5.95	0.76
5.98	0.83
6.00	0.68
6.03	0.75
6.05	0.63
6.08	0.77
6.10	0.68
6.12	0.74
6.15	0.58
6.17	0.70
6.20	0.58
6.22	0.79
6.25	0.66
6.27	0.76
6.30	0.61
6.32	0.78
6.34	0.67
6.37	0.87
6.39	0.67
6.42	0.83
6.44	0.68
6.47	0.82
6.49	0.64
6.52	0.77
6.54	0.59
6.56	0.79
6.59	0.59
6.61	0.75
6.64	0.58
6.66	0.74
6.69	0.62
6.71	0.79
6.73	0.58
6.76	0.76
6.78	0.61
6.81	0.80
6.83	0.64
6.86	0.76
6.88	0.60
6.91	0.80
6.93	0.69
6.95	0.83
6.98	0.65
7.00	0.78
7.03	0.70
7.05	0.89
7.08	0.76
7.10	0.82
7.13	0.70
7.15	0.82
7.17	0.77
7.20	0.88
7.22	0.79
7.25	0.81
7.27	0.72
7.30	0.79
7.32	0.77
7.35	0.83
7.37	0.81
7.39	0.77
7.42	0.80
7.44	0.84
7.47	0.88
7.49	0.90
7.52	0.93
7.54	0.84
7.57	0.85
7.59	0.76
7.61	0.86
7.64	0.81
7.66	0.89
7.69	0.73
7.71	0.79
7.74	0.71
7.76	0.87
7.78	0.77
7.81	0.87
7.83	0.67
7.86	0.82
7.88	0.72
7.91	0.90
7.93	0.76
7.96	0.88
7.98	0.71
8.00	0.94
8.03	0.80
8.05	1.00
8.08	0.82
8.10	0.94
8.13	0.75
8.15	0.99
8.18	0.79
8.20	0.94
8.22	0.78
8.25	0.95
8.27	0.80
8.30	0.98
8.32	0.74
8.35	0.93
8.37	0.73
8.40	0.91
8.42	0.74
8.44	0.92
8.47	0.76
8.49	0.96
8.52	0.76
8.54	0.97
8.57	0.80
8.59	0.98
8.62	0.85
8.64	1.00
8.66	0.82
8.69	0.96
8.71	0.81
8.74	0.98
8.76	0.87
8.79	0.96
8.81	0.83
8.84	0.95
8.86	0.87
8.88	1.04
8.91	0.96
8.93	1.00
8.96	0.89
8.98	0.96
9.01	0.93
9.03	1.00
9.05	0.92
9.08	0.90
9.10	0.84
9.13	0.91
9.15	0.93
9.18	0.95
9.20	0.94
9.23	0.92
9.25	0.93
9.27	0.91
9.30	0.98
9.32	0.95
9.35	1.01
9.37	0.91
9.40	0.95
9.42	0.87
9.45	1.00
9.47	0.94
9.49	1.06
9.52	0.90
9.54	1.03
9.57	0.91
9.59	1.08
9.62	0.99
9.64	1.13
9.67	0.93
9.69	1.08
9.71	0.95
9.74	1.20
9.76	1.04
9.79	1.18
9.81	0.97
9.84	1.14
9.86	1.01
9.89	1.17
9.91	0.95
9.93	1.12
9.96	0.90
9.98	1.05
10.01	0.91
10.03	1.11
10.06	0.95
10.08	1.15
10.10	0.96
10.13	1.16
10.15	1.02
10.18	1.16
10.20	0.95
10.23	1.10
10.25	0.92
10.28	1.12
10.30	0.97
10.32	1.13
10.35	0.97
10.37	1.11
10.40	0.99
10.42	1.17
10.45	1.04
10.47	1.14
10.50	0.99
10.52	1.12
10.54	1.05
10.57	1.16
10.59	1.05
10.62	1.13
10.64	1.02
10.67	1.09
10.69	1.04
10.72	1.11
10.74	1.05
10.76	1.06
10.79	1.00
10.81	1.05
10.84	1.07
10.86	1.13
10.89	1.13
10.91	1.12
10.94	1.14
10.96	1.13
10.98	1.20
11.01	1.19
11.03	1.21
11.06	1.12
11.08	1.16
11.11	1.07
11.13	1.17
11.15	1.13
11.18	1.23
11.20	1.08
11.23	1.18
11.25	1.05
11.28	1.26
11.30	1.15
11.33	1.23
11.35	1.08
11.37	1.24
11.40	1.09
11.42	1.29
11.45	1.11
11.47	1.26
11.50	1.09
11.52	1.27
11.55	1.11
11.57	1.31
11.59	1.14
11.62	1.31
11.64	1.12
11.67	1.31
11.69	1.13
11.72	1.33
11.74	1.15
11.77	1.35
11.79	1.16
11.81	1.36
11.84	1.19
11.86	1.37
11.89	1.22
11.91	1.41
11.94	1.22
11.96	1.44
11.99	1.28
12.01	1.47
12.03	1.29
12.06	1.44
12.08	1.34
12.11	1.55
12.13	1.43
12.16	1.55
12.18	1.37
12.21	1.52
12.23	1.42
12.25	1.54
12.28	1.44
12.30	1.49
12.33	1.36
12.35	1.49
12.38	1.48
12.40	1.59
12.42	1.51
12.45	1.54
12.47	1.53
12.50	1.62
12.52	1.62
12.55	1.67
12.57	1.62
12.60	1.60
12.62	1.60
12.64	1.58
12.67	1.64
12.69	1.65
12.72	1.67
12.74	1.63
12.77	1.63
12.79	1.58
12.82	1.70
12.84	1.65
12.86	1.72
12.89	1.58
12.91	1.65
12.94	1.61
12.96	1.75
12.99	1.65
13.01	1.75
13.04	1.57
13.06	1.72
13.08	1.64
13.11	1.80
13.13	1.66
13.16	1.81
13.18	1.63
13.21	1.84
13.23	1.68
13.26	1.86
13.28	1.69
13.30	1.85
13.33	1.65
13.35	1.87
13.38	1.68
13.40	1.86
13.43	1.67
13.45	1.85
13.47	1.69
13.50	1.85
13.52	1.64
13.55	1.87
13.57	1.70
13.60	1.88
13.62	1.70
13.65	1.86
13.67	1.72
13.69	1.92
13.72	1.69
13.74	1.85
13.77	1.69
13.79	1.89
13.82	1.77
13.84	1.88
13.87	1.69
13.89	1.82
13.91	1.69
13.94	1.87
13.96	1.74
13.99	1.77
14.01	1.66
14.04	1.74
14.06	1.68
14.09	1.80
14.11	1.68
14.13	1.71
14.16	1.62
14.18	1.67
14.21	1.66
14.23	1.70
14.26	1.64
14.28	1.66
14.31	1.61
14.33	1.65
14.35	1.68
14.38	1.70
14.40	1.71
14.43	1.66
14.45	1.64
14.48	1.61
14.50	1.65
14.52	1.63
14.55	1.72
14.57	1.61
14.60	1.66
14.62	1.60
14.65	1.74
14.67	1.72
14.70	1.82
14.72	1.63
14.74	1.74
14.77	1.62
14.79	1.79
14.82	1.63
14.84	1.74
14.87	1.51
14.89	1.70
14.92	1.55
14.94	1.77
14.96	1.59
14.99	1.73
15.01	1.58
15.04	1.81
15.06	1.65
15.09	1.84
15.11	1.64
15.14	1.82
15.16	1.64
15.18	1.79
15.21	1.57
15.23	1.73
15.26	1.52
15.28	1.71
15.31	1.51
15.33	1.71
15.36	1.54
15.38	1.73
15.40	1.56
15.43	1.76
15.45	1.59
15.48	1.80
15.50	1.63
15.53	1.81
15.55	1.66
15.57	1.79
15.60	1.67
15.62	1.85
15.65	1.73
15.67	1.87
15.70	1.72
15.72	1.82
15.75	1.79
15.77	1.91
15.79	1.85
15.82	1.90
15.84	1.79
15.87	1.89
15.89	1.90
15.92	1.97
15.94	1.91
15.97	1.92
15.99	1.89
16.01	1.98
16.04	1.99
16.06	2.03
16.09	2.02
16.11	2.00
16.14	2.02
16.16	2.02
16.19	2.06
16.21	2.09
16.23	2.14
16.26	2.09
16.28	2.16
16.31	2.08
16.33	2.24
16.36	2.21
16.38	2.30
16.41	2.19
16.43	2.29
16.45	2.22
16.48	2.46
16.50	2.34
16.53	2.48
16.55	2.34
16.58	2.51
16.60	2.43
16.63	2.62
16.65	2.43
16.67	2.61
16.70	2.44
16.72	2.65
16.75	2.51
16.77	2.69
16.80	2.51
16.82	2.74
16.84	2.56
16.87	2.82
16.89	2.68
16.92	2.90
16.94	2.75
16.97	2.99
16.99	2.82
17.02	3.05
17.04	2.85
17.06	3.06
17.09	2.89
17.11	3.08
17.14	2.93
17.16	3.16
17.19	3.02
17.21	3.23
17.24	3.07
17.26	3.26
17.28	3.14
17.31	3.34
17.33	3.23
17.36	3.35
17.38	3.18
17.41	3.32
